pair_id,contract_source,clause_a_text,clause_b_text,your_label,your_reasoning,system_prediction,system_confidence,correct,evaluation_error
1,Agreement 4 (SECI-SPD PPA),"9.1 Subsequent to commencement... the SPD shall be entitled to receive the Tariff of Rs. ....../ kWh, fixed for the entire term of this Agreement.[cite: 2]","12.2.1 On the occurrence of a change in law, the monthly tariff or charges shall be adjusted and be recovered...[cite: 2]",True,"Clause 9.1 asserts the tariff is completely fixed[cite: 2], while 12.2.1 mandates adjustment upon a change in law[cite: 2].",True,0.9844036066063429,True,
2,Agreement 3 (Professional Services),11. INDEPENDENT CONSULTANT STATUS... agree that CONSULTANT is an independent CONSULTANT and not an employee of COMMISSION.[cite: 2],15.A. ...Such deliverables shall be deemed works made for hire and all rights in copyright therein shall be retained by COMMISSION.[cite: 2],True,"Declaring the contractor an independent entity conflicts with claiming 'works made for hire' status, which statutorily presumes an employment relationship[cite: 2].",True,0.9995358525928918,True,
3,Agreement 1 (Agreement for Sale),1.6. It is agreed that the Promoter shall not make any additions and alterations in the sanctioned plans... without the previous written consent of the allottee...[cite: 2],"1.6. Provided that the Promoter may make such minor additions or alterations as may be required by the Allottee, or such minor changes... as per the Act.[cite: 2]",True,"The primary sentence creates an absolute bar on alterations[cite: 2], whereas the proviso permits minor alterations without explicit consent[cite: 2].",False,0.0005142269531997447,False,
4,Agreement 4 (SECI-SPD PPA),4.4.2 ...it will not be allowed to sell any excess power to any other entity other than SECI (unless refused by SECI).[cite: 2],9.4 The SPD may also sell the power which was offered on day ahead basis... to any third party or power exchange without requiring NOC...[cite: 2],True,"Clause 4.4.2 restricts third-party sales without SECI refusal[cite: 2], while 9.4 grants express rights to sell unscheduled power without an NOC[cite: 2].",False,0.029851286777951222,False,
5,Agreement 3 (Professional Services),4.A. COMMISSION may terminate this Agreement for its convenience any time... by giving CONSULTANT thirty-day (30-day) written notice thereof.[cite: 2],4.B. ...if CONSULTANT breaches any term(s)... and does not cure such breach... within ten (10) days... COMMISSION may terminate...[cite: 2],False,"Termination for convenience and termination for default with cure periods are complementary, distinct exit mechanisms[cite: 2].",False,0.0011766153852925296,True,
6,Agreement 4 (SECI-SPD PPA),"14.1.1 The SPD shall indemnify, defend and hold SECI harmless against: a) any and all third party claims against SECI for any loss...[cite: 2]","14.4.1 Except as expressly provided... neither the SPD nor SECI... shall be liable or responsible... for incidental, indirect or consequential damages...[cite: 2]",False,Third-party indemnification for direct damages operates independently from a mutual waiver of consequential damages[cite: 2].,False,0.013866088004498065,True,
7,Agreement 1 (Agreement for Sale),"1.3. The Total Price is escalation-free, save and except increases which the Allottee hereby agrees to pay, due to increase on account of development charges...[cite: 2]",1.3. Provided that if there is any new imposition or increase of any development charges after the expiry of the scheduled date... the same shall not be charged...[cite: 2],False,"The primary clause permits lawful escalations[cite: 2], while the proviso limits escalations caused by the promoter's own delays[cite: 2].",False,0.004810669947318476,True,
8,Agreement 2 (Share Purchase),2.1 ...the Shares Seller agrees to sell and transfer... the Sale Shares of the Company free from Encumbrances...[cite: 2],"4.2.1 The Shares Seller and the Nominees are the legal and beneficial owners of the Sale Shares, free and clear of any Encumbrance...[cite: 2]",False,The transfer covenant to deliver unencumbered shares matches the representation and warranty of good title[cite: 2].,False,0.008033636492970404,True,
9,Agreement 4 (SECI-SPD PPA),4.9.1 ...the SPD would have no right to negotiate or enter into any dialogue with any third party for the sale of Contracted Capacity... throughout the entire term...[cite: 2],"9.2 In case of early part/full commencement... till SCSD, the SPD will be free to sell the electricity generated, to any entity other than SECI...[cite: 2]",True,"Clause 4.9.1 bars third-party negotiations entirely[cite: 2], while 9.2 permits pre-SCSD third-party sales upon deemed refusal[cite: 2].",True,0.9969973180857142,True,
10,Agreement 3 (Professional Services),"15. WORK PRODUCTS. All material, data... is subject to the unqualified and unconditional right of the COMMISSION to use, reproduce, publish...[cite: 2]","15. ...If any of the work is subject to copyright... CONSULTANT now grants to the COMMISSION a perpetual, royalty-free, nonexclusive and irrevocable license...[cite: 2]",True,"Claiming full, unconditional ownership over work products contradicts granting a mere non-exclusive license[cite: 2].",False,0.09256298518671427,False,
