query_id,query,gold_act,gold_section,dense_rank,bm25_rank,hybrid_rank,dense_rr,bm25_rr,hybrid_rr,dense_error,bm25_error
Q01,What constitutes fraud under the Indian Contract Act?,contract_act,17,Miss,2,5,0.0,0.5,0.2,,
Q02,Under which section is coercion defined in the Indian Contract Act?,contract_act,15,Miss,1,1,0.0,1.0,1.0,,
Q03,What constitutes undue influence according to the Indian Contract Act?,contract_act,16,Miss,2,5,0.0,0.5,0.2,,
Q04,How is misrepresentation defined under the Indian Contract Act?,contract_act,18,Miss,1,1,0.0,1.0,1.0,,
Q05,What defines free consent under the Indian Contract Act?,contract_act,14,Miss,2,4,0.0,0.5,0.25,,
Q06,Under which section is an agreement without consideration considered void?,contract_act,25,Miss,Miss,Miss,0.0,0.0,0.0,,
Q07,What constitutes an agreement in restraint of trade under the Contract Act?,contract_act,27,Miss,1,4,0.0,1.0,0.25,,
Q08,Under which section are wagering agreements declared void?,contract_act,30,Miss,2,3,0.0,0.5,0.3333333333333333,,
Q09,What is a contingent contract under the Indian Contract Act?,contract_act,31,Miss,1,3,0.0,1.0,0.3333333333333333,,
Q10,What makes an agreement void on ground of impossibility of act?,contract_act,56,4,4,3,0.25,0.25,0.3333333333333333,,
Q11,What does Section 73 of the Contract Act cover regarding compensation for breach?,contract_act,73,Miss,Miss,Miss,0.0,0.0,0.0,,
Q12,How is compensation for breach where penalty is stipulated determined?,contract_act,74,Miss,1,1,0.0,1.0,1.0,,
Q13,What are the rights and responsibilities of a finder of goods?,contract_act,71,Miss,Miss,Miss,0.0,0.0,0.0,,
Q14,What defines a contract of indemnity under the Indian Contract Act?,contract_act,124,Miss,Miss,Miss,0.0,0.0,0.0,,
Q15,"How is a contract of guarantee, surety, and principal debtor defined?",contract_act,126,Miss,1,1,0.0,1.0,1.0,,
Q16,What is a continuing guarantee and how is it defined?,contract_act,129,Miss,1,1,0.0,1.0,1.0,,
Q17,"Under what section is bailment, bailor, and bailee defined?",contract_act,148,Miss,Miss,Miss,0.0,0.0,0.0,,
Q18,What is the standard duty of care required from a bailee?,contract_act,151,1,1,1,1.0,1.0,1.0,,
Q19,Under which section are agent and principal defined in the Contract Act?,contract_act,182,Miss,Miss,Miss,0.0,0.0,0.0,,
Q20,When is communication of acceptance complete against the proposer and acceptor?,contract_act,4,4,1,1,0.25,1.0,1.0,,
Q21,What is the punishment for criminal conspiracy under IPC?,ipc,120B,2,1,1,0.5,1.0,1.0,,
Q22,What constitutes sedition under the Indian Penal Code?,ipc,124A,Miss,Miss,Miss,0.0,0.0,0.0,,
Q23,How is unlawful assembly defined in the Indian Penal Code?,ipc,141,3,Miss,Miss,0.3333333333333333,0.0,0.0,,
Q24,What is the punishment for rioting under the IPC?,ipc,147,Miss,Miss,Miss,0.0,0.0,0.0,,
Q25,Under which section is culpable homicide defined in the IPC?,ipc,299,Miss,Miss,Miss,0.0,0.0,0.0,,
Q26,What defines murder under the Indian Penal Code?,ipc,300,1,Miss,2,1.0,0.0,0.5,,
Q27,What is the punishment for murder under Section 302 of the IPC?,ipc,302,Miss,Miss,Miss,0.0,0.0,0.0,,
Q28,Under which section is dowry death punishable under the IPC?,ipc,304B,Miss,Miss,Miss,0.0,0.0,0.0,,
Q29,How is grievous hurt defined under the Indian Penal Code?,ipc,320,Miss,Miss,Miss,0.0,0.0,0.0,,
Q30,What is the punishment for voluntarily causing grievous hurt?,ipc,325,5,3,3,0.2,0.3333333333333333,0.3333333333333333,,
Q31,How is wrongful restraint defined in the Indian Penal Code?,ipc,339,Miss,Miss,Miss,0.0,0.0,0.0,,
Q32,How is wrongful confinement defined under Section 340 of the IPC?,ipc,340,4,Miss,Miss,0.25,0.0,0.0,,
Q33,How is theft defined under the Indian Penal Code?,ipc,378,Miss,Miss,Miss,0.0,0.0,0.0,,
Q34,What is the punishment for committing theft under IPC?,ipc,379,Miss,Miss,Miss,0.0,0.0,0.0,,
Q35,What constitutes extortion under the Indian Penal Code?,ipc,383,Miss,Miss,Miss,0.0,0.0,0.0,,
Q36,What constitutes robbery under Section 390 of the IPC?,ipc,390,Miss,2,4,0.0,0.5,0.25,,
Q37,What constitutes dacoity under the Indian Penal Code?,ipc,391,Miss,Miss,Miss,0.0,0.0,0.0,,
Q38,What is dishonest misappropriation of property under IPC?,ipc,403,1,Miss,3,1.0,0.0,0.3333333333333333,,
Q39,How is criminal breach of trust defined under the IPC?,ipc,405,Miss,2,3,0.0,0.5,0.3333333333333333,,
Q40,What constitutes cheating under Section 415 of the Indian Penal Code?,ipc,415,Miss,Miss,Miss,0.0,0.0,0.0,,
Q41,What constitutes forgery under the Indian Penal Code?,ipc,463,Miss,Miss,Miss,0.0,0.0,0.0,,
Q42,What is criminal intimidation defined under Section 503 IPC?,ipc,503,Miss,4,Miss,0.0,0.25,0.0,,
Q43,What does Article 14 of the Constitution of India guarantee?,constitution,14,1,1,1,1.0,1.0,1.0,,
Q44,"Which Article prohibits discrimination on grounds of religion, race, caste, sex?",constitution,15,4,4,3,0.25,0.25,0.3333333333333333,,
Q45,Which Article guarantees equality of opportunity in public employment?,constitution,16,Miss,1,2,0.0,1.0,0.5,,
Q46,Which Article of the Indian Constitution abolishes untouchability?,constitution,17,1,2,1,1.0,0.5,1.0,,
Q47,What fundamental freedoms are protected under Article 19 of the Constitution?,constitution,19,Miss,2,3,0.0,0.5,0.3333333333333333,,
Q48,Which Article guarantees protection of life and personal liberty?,constitution,21,1,1,1,1.0,1.0,1.0,,
Q49,Which Article provides remedies for enforcement of fundamental rights?,constitution,32,Miss,1,1,0.0,1.0,1.0,,
Q50,Which Article provides for a Uniform Civil Code for citizens under DPSP?,constitution,44,1,1,1,1.0,1.0,1.0,,
